Pod Name,Container Name,Timestamp,CPU Usage (millicores),Memory Usage (bytes)
oai-udr10-5d4764fddb-pvn6s,proxy,2024-06-07 12:51:42,71.796,532068Ki
oai-udm10-9b674b8d5-tvnr5,proxy,2024-06-07 12:51:42,0,990340Ki
oai-ausf10-6ccbff8f8d-z6s98,proxy,2024-06-07 12:51:43,89.536,630440Ki
oai-amf10-5c49dfb85b-qzg5h,proxy,2024-06-07 12:51:43,222.150,1447644Ki
oai-smf10-58bb99fd8-f8mkm,proxy,2024-06-07 12:51:43,.394,562420Ki
oai-udr10-5d4764fddb-pvn6s,proxy,2024-06-07 12:51:45,71.796,532068Ki
oai-udm10-9b674b8d5-tvnr5,proxy,2024-06-07 12:51:45,0,990340Ki
oai-ausf10-6ccbff8f8d-z6s98,proxy,2024-06-07 12:51:45,89.536,630440Ki
oai-amf10-5c49dfb85b-qzg5h,proxy,2024-06-07 12:51:45,222.150,1447644Ki
oai-smf10-58bb99fd8-f8mkm,proxy,2024-06-07 12:51:46,.394,562420Ki
oai-udr10-5d4764fddb-pvn6s,proxy,2024-06-07 12:51:48,71.796,532068Ki
oai-udm10-9b674b8d5-tvnr5,proxy,2024-06-07 12:51:48,0,990340Ki
oai-ausf10-6ccbff8f8d-z6s98,proxy,2024-06-07 12:51:48,89.536,630440Ki
oai-amf10-5c49dfb85b-qzg5h,proxy,2024-06-07 12:51:48,222.150,1447644Ki
oai-smf10-58bb99fd8-f8mkm,proxy,2024-06-07 12:51:49,.394,562420Ki
oai-udr10-5d4764fddb-pvn6s,proxy,2024-06-07 12:51:51,71.796,532068Ki
oai-udm10-9b674b8d5-tvnr5,proxy,2024-06-07 12:51:51,0,990340Ki
oai-ausf10-6ccbff8f8d-z6s98,proxy,2024-06-07 12:51:51,89.536,630440Ki
oai-amf10-5c49dfb85b-qzg5h,proxy,2024-06-07 12:51:51,222.150,1447644Ki
oai-smf10-58bb99fd8-f8mkm,proxy,2024-06-07 12:51:51,.394,562420Ki
oai-udr10-5d4764fddb-pvn6s,proxy,2024-06-07 12:51:54,71.796,532068Ki
oai-udm10-9b674b8d5-tvnr5,proxy,2024-06-07 12:51:54,0,990340Ki
oai-ausf10-6ccbff8f8d-z6s98,proxy,2024-06-07 12:51:54,89.536,630440Ki
oai-amf10-5c49dfb85b-qzg5h,proxy,2024-06-07 12:51:54,222.150,1447644Ki
oai-smf10-58bb99fd8-f8mkm,proxy,2024-06-07 12:51:54,.394,562420Ki
oai-udr10-5d4764fddb-pvn6s,proxy,2024-06-07 12:51:56,16.643,532196Ki
oai-udm10-9b674b8d5-tvnr5,proxy,2024-06-07 12:51:57,17.353,990664Ki
oai-ausf10-6ccbff8f8d-z6s98,proxy,2024-06-07 12:51:57,15.834,630624Ki
oai-amf10-5c49dfb85b-qzg5h,proxy,2024-06-07 12:51:57,11.661,1447860Ki
oai-smf10-58bb99fd8-f8mkm,proxy,2024-06-07 12:51:57,23.823,562476Ki
oai-udr10-5d4764fddb-pvn6s,proxy,2024-06-07 12:51:59,16.643,532196Ki
oai-udm10-9b674b8d5-tvnr5,proxy,2024-06-07 12:51:59,17.353,990664Ki
oai-ausf10-6ccbff8f8d-z6s98,proxy,2024-06-07 12:52:00,15.834,630624Ki
oai-amf10-5c49dfb85b-qzg5h,proxy,2024-06-07 12:52:00,11.661,1447860Ki
oai-smf10-58bb99fd8-f8mkm,proxy,2024-06-07 12:52:00,23.823,562476Ki
oai-udr10-5d4764fddb-pvn6s,proxy,2024-06-07 12:52:02,16.643,532196Ki
oai-udm10-9b674b8d5-tvnr5,proxy,2024-06-07 12:52:02,17.353,990664Ki
oai-ausf10-6ccbff8f8d-z6s98,proxy,2024-06-07 12:52:02,15.834,630624Ki
oai-amf10-5c49dfb85b-qzg5h,proxy,2024-06-07 12:52:03,11.661,1447860Ki
oai-smf10-58bb99fd8-f8mkm,proxy,2024-06-07 12:52:03,23.823,562476Ki
oai-udr10-5d4764fddb-pvn6s,proxy,2024-06-07 12:52:05,16.643,532196Ki
oai-udm10-9b674b8d5-tvnr5,proxy,2024-06-07 12:52:05,17.353,990664Ki
oai-ausf10-6ccbff8f8d-z6s98,proxy,2024-06-07 12:52:05,15.834,630624Ki
oai-amf10-5c49dfb85b-qzg5h,proxy,2024-06-07 12:52:06,11.661,1447860Ki
oai-smf10-58bb99fd8-f8mkm,proxy,2024-06-07 12:52:06,23.823,562476Ki
oai-udr10-5d4764fddb-pvn6s,proxy,2024-06-07 12:52:08,16.643,532196Ki
oai-udm10-9b674b8d5-tvnr5,proxy,2024-06-07 12:52:08,17.353,990664Ki
oai-ausf10-6ccbff8f8d-z6s98,proxy,2024-06-07 12:52:08,15.834,630624Ki
oai-amf10-5c49dfb85b-qzg5h,proxy,2024-06-07 12:52:08,11.661,1447860Ki
oai-smf10-58bb99fd8-f8mkm,proxy,2024-06-07 12:52:09,23.823,562476Ki
oai-udr10-5d4764fddb-pvn6s,proxy,2024-06-07 12:52:11,40.573,532152Ki
oai-udm10-9b674b8d5-tvnr5,proxy,2024-06-07 12:52:11,39.457,990580Ki
oai-ausf10-6ccbff8f8d-z6s98,proxy,2024-06-07 12:52:11,27.412,630840Ki
oai-amf10-5c49dfb85b-qzg5h,proxy,2024-06-07 12:52:11,36.359,1448100Ki
oai-smf10-58bb99fd8-f8mkm,proxy,2024-06-07 12:52:12,45.912,562580Ki
oai-udr10-5d4764fddb-pvn6s,proxy,2024-06-07 12:52:14,40.573,532152Ki
oai-udm10-9b674b8d5-tvnr5,proxy,2024-06-07 12:52:14,39.457,990580Ki
oai-ausf10-6ccbff8f8d-z6s98,proxy,2024-06-07 12:52:14,27.412,630840Ki
oai-amf10-5c49dfb85b-qzg5h,proxy,2024-06-07 12:52:14,36.359,1448100Ki
oai-smf10-58bb99fd8-f8mkm,proxy,2024-06-07 12:52:14,45.912,562580Ki
oai-udr10-5d4764fddb-pvn6s,proxy,2024-06-07 12:52:17,40.573,532152Ki
oai-udm10-9b674b8d5-tvnr5,proxy,2024-06-07 12:52:17,39.457,990580Ki
oai-ausf10-6ccbff8f8d-z6s98,proxy,2024-06-07 12:52:17,27.412,630840Ki
oai-amf10-5c49dfb85b-qzg5h,proxy,2024-06-07 12:52:17,36.359,1448100Ki
oai-smf10-58bb99fd8-f8mkm,proxy,2024-06-07 12:52:17,45.912,562580Ki
oai-udr10-5d4764fddb-pvn6s,proxy,2024-06-07 12:52:19,40.573,532152Ki
oai-udm10-9b674b8d5-tvnr5,proxy,2024-06-07 12:52:20,39.457,990580Ki
oai-ausf10-6ccbff8f8d-z6s98,proxy,2024-06-07 12:52:20,27.412,630840Ki
oai-amf10-5c49dfb85b-qzg5h,proxy,2024-06-07 12:52:20,36.359,1448100Ki
oai-smf10-58bb99fd8-f8mkm,proxy,2024-06-07 12:52:20,45.912,562580Ki
oai-udr10-5d4764fddb-pvn6s,proxy,2024-06-07 12:52:22,40.573,532152Ki
