Pod Name,Container Name,Timestamp,CPU Usage (millicores),Memory Usage (bytes)
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:02:53,0,54412Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:02:53,0,87740Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:02:53,0,55020Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:02:53,0,103020Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:02:53,.160,62884Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:02:55,2.711,54424Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:02:56,0,87740Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:02:56,0,55020Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:02:56,0,103020Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:02:56,.508,63020Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:02:58,2.711,54424Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:02:58,0,87740Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:02:59,0,55020Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:02:59,0,103020Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:02:59,.508,63020Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:03:01,2.711,54424Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:03:01,0,87740Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:03:01,0,55020Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:03:02,0,103020Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:03:02,.508,63020Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:03:04,2.711,54424Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:03:04,0,87740Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:03:04,0,55020Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:03:05,0,103020Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:03:05,.508,63020Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:03:07,2.711,54424Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:03:07,0,87740Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:03:07,0,55020Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:03:07,0,103020Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:03:08,.508,63020Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:03:10,2.711,54424Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:03:10,36.349,88428Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:03:10,18.618,56944Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:03:10,14.257,103232Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:03:10,35.184,63640Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:03:13,2.711,54424Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:03:13,36.349,88428Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:03:13,18.618,56944Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:03:13,14.257,103232Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:03:13,35.184,63640Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:03:16,2.711,54424Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:03:16,36.349,88428Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:03:16,18.618,56944Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:03:16,14.257,103232Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:03:16,35.184,63640Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:03:18,2.711,54424Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:03:19,36.349,88428Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:03:19,18.618,56944Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:03:19,14.257,103232Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:03:19,35.184,63640Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:03:21,2.711,54424Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:03:22,36.349,88428Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:03:22,18.618,56944Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:03:22,14.257,103232Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:03:22,35.184,63640Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:03:24,2.711,54424Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:03:24,36.349,88428Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:03:25,18.618,56944Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:03:25,14.257,103232Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:03:25,49.145,63492Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:03:27,50.210,59032Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:03:27,32.423,88732Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:03:27,18.618,56944Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:03:28,23.677,103920Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:03:28,49.145,63492Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:03:30,50.210,59032Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:03:30,32.423,88732Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:03:30,18.618,56944Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:03:30,23.677,103920Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:03:31,49.145,63492Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:03:33,50.210,59032Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:03:33,32.423,88732Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:03:33,18.618,56944Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:03:33,23.677,103920Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:03:33,49.145,63492Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:03:36,50.210,59032Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:03:36,32.423,88732Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:03:36,18.618,56944Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:03:36,23.677,103920Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:03:36,49.145,63492Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:03:38,50.210,59032Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:03:39,32.423,88732Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:03:39,18.618,56944Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:03:39,23.677,103920Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:03:39,49.145,63492Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:03:41,42.954,59148Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:03:41,34.702,91016Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:03:42,38.960,60036Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:03:42,24.100,106480Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:03:42,50.162,64016Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:03:44,42.954,59148Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:03:44,34.702,91016Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:03:44,38.960,60036Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:03:45,24.100,106480Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:03:45,50.162,64016Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:03:47,42.954,59148Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:03:47,34.702,91016Ki
